path,campaign,rows,n_columns,size_kb,mtime,config_sidecar,has_splits_hash,has_coordinate,status_counts
_archive_20260715_130919/a1_fmtau/fmtau_taiwan_lam0p2_0.parquet,a1_fmtau,2070,18,69.8,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 858, ""OPTIMAL"": 1212}"
_archive_20260715_130919/a1_fmtau/fmtau_taiwan_lam0p4_0.parquet,a1_fmtau,2070,18,70.8,2026-07-15T20:29:36,False,False,False,"{""INFEASIBLE"": 681, ""OPTIMAL"": 1389}"
_archive_20260715_130919/a1_maxbins/maxbins_german_auto_0.parquet,a1_maxbins,560,17,27.6,2026-07-15T20:29:36,False,False,False,
_archive_20260715_130919/a1_maxbins/maxbins_german_free_0.parquet,a1_maxbins,560,17,29.9,2026-07-15T20:29:36,False,False,False,
_archive_20260715_130919/a1_maxbins/maxbins_gmsc_auto_0.parquet,a1_maxbins,800,17,39.7,2026-07-15T20:29:36,False,False,False,
_archive_20260715_130919/a1_maxbins/maxbins_gmsc_free_0.parquet,a1_maxbins,800,17,40.9,2026-07-15T20:29:36,False,False,False,
_archive_20260715_130919/a1_maxbins/maxbins_hmeq_auto_0.parquet,a1_maxbins,800,17,39.5,2026-07-15T20:29:36,False,False,False,
_archive_20260715_130919/a1_maxbins/maxbins_hmeq_free_0.parquet,a1_maxbins,800,17,46.0,2026-07-15T20:29:36,False,False,False,
_archive_20260715_130919/a1_maxbins/maxbins_taiwan_auto_0.parquet,a1_maxbins,1840,17,78.4,2026-07-15T20:29:36,False,False,False,
_archive_20260715_130919/a1_maxbins/maxbins_taiwan_free_0.parquet,a1_maxbins,1840,17,88.9,2026-07-15T20:29:36,False,False,False,
_smoke/audit_german_0.parquet,_smoke,9,26,16.2,2026-07-30T15:38:36,False,False,False,
_smoke/c3_german_0.parquet,_smoke,1,13,7.5,2026-07-30T15:38:36,False,False,False,
a1/a1_german_0.parquet,a1,280,14,17.0,2026-07-15T20:29:36,False,False,False,"{""OPTIMAL"": 280}"
a1/a1_gmsc_0.parquet,a1,400,14,19.4,2026-07-16T15:50:51,False,False,False,"{""OPTIMAL"": 400}"
a1/a1_hmeq_0.parquet,a1,400,14,22.0,2026-07-16T15:50:51,False,False,False,"{""OPTIMAL"": 400}"
a1/a1_synthetic-spike2_0.parquet,a1,80,14,11.6,2026-07-16T15:50:51,False,False,False,"{""OPTIMAL"": 80}"
a1/a1_synthetic-spike_0.parquet,a1,80,14,11.2,2026-07-16T15:50:51,False,False,False,"{""OPTIMAL"": 80}"
a1/a1_taiwan_0.parquet,a1,920,14,39.3,2026-07-15T21:34:57,False,False,False,"{""OPTIMAL"": 920}"
a1_coord/a1_german_0.parquet,a1_coord,400,20,25.1,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 350}"
a1_coord/a1_german_rank_0.parquet,a1_coord,400,20,23.5,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 350}"
a1_coord/a1_german_rank_balanced_0.parquet,a1_coord,400,20,24.0,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 350}"
a1_coord/a1_german_raw_0.parquet,a1_coord,400,20,22.0,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 350}"
a1_coord/a1_gmsc_0.parquet,a1_coord,550,20,29.4,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 500}"
a1_coord/a1_gmsc_rank_0.parquet,a1_coord,550,20,28.0,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 500}"
a1_coord/a1_gmsc_rank_balanced_0.parquet,a1_coord,550,20,28.1,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 500}"
a1_coord/a1_gmsc_raw_0.parquet,a1_coord,550,20,25.7,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 500}"
a1_coord/a1_hmeq_0.parquet,a1_coord,550,20,31.7,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 500}"
a1_coord/a1_hmeq_rank_0.parquet,a1_coord,550,20,29.6,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 500}"
a1_coord/a1_hmeq_rank_balanced_0.parquet,a1_coord,550,20,29.7,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 500}"
a1_coord/a1_hmeq_raw_0.parquet,a1_coord,550,20,28.5,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 500}"
a1_coord/a1_taiwan_0.parquet,a1_coord,1200,20,58.5,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 1150}"
a1_coord/a1_taiwan_rank_0.parquet,a1_coord,1200,20,54.8,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 1150}"
a1_coord/a1_taiwan_rank_balanced_0.parquet,a1_coord,1200,20,55.0,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 1150}"
a1_coord/a1_taiwan_raw_0.parquet,a1_coord,1200,20,50.1,2026-08-02T18:14:37,True,True,True,"{""OK"": 50, ""OPTIMAL"": 1150}"
a1_fmtau/fmtau_german_lam0p05_0.parquet,a1_fmtau,630,18,26.3,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 348, ""OPTIMAL"": 282}"
a1_fmtau/fmtau_german_lam0p1_0.parquet,a1_fmtau,630,18,26.7,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 334, ""OPTIMAL"": 296}"
a1_fmtau/fmtau_german_lam0p2_0.parquet,a1_fmtau,630,18,27.5,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 295, ""OPTIMAL"": 335}"
a1_fmtau/fmtau_german_lam0p4_0.parquet,a1_fmtau,630,18,27.9,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 277, ""OPTIMAL"": 353}"
a1_fmtau/fmtau_gmsc_lam0p05_0.parquet,a1_fmtau,900,18,33.6,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 451, ""OPTIMAL"": 449}"
a1_fmtau/fmtau_gmsc_lam0p1_0.parquet,a1_fmtau,900,18,33.9,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 451, ""OPTIMAL"": 449}"
a1_fmtau/fmtau_gmsc_lam0p2_0.parquet,a1_fmtau,900,18,35.3,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 389, ""OPTIMAL"": 511}"
a1_fmtau/fmtau_gmsc_lam0p4_0.parquet,a1_fmtau,900,18,35.8,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 371, ""OPTIMAL"": 529}"
a1_fmtau/fmtau_hmeq_lam0p05_0.parquet,a1_fmtau,900,18,33.3,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 498, ""OPTIMAL"": 402}"
a1_fmtau/fmtau_hmeq_lam0p1_0.parquet,a1_fmtau,900,18,33.3,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 496, ""OPTIMAL"": 404}"
a1_fmtau/fmtau_hmeq_lam0p2_0.parquet,a1_fmtau,900,18,35.2,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 428, ""OPTIMAL"": 472}"
a1_fmtau/fmtau_hmeq_lam0p4_0.parquet,a1_fmtau,900,18,36.0,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 385, ""OPTIMAL"": 515}"
a1_fmtau/fmtau_taiwan_lam0p05_0.parquet,a1_fmtau,2070,18,65.1,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 1046, ""OPTIMAL"": 1024}"
a1_fmtau/fmtau_taiwan_lam0p1_0.parquet,a1_fmtau,2070,18,66.7,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 994, ""OPTIMAL"": 1076}"
a1_fmtau/fmtau_taiwan_lam0p2_0.parquet,a1_fmtau,2070,18,69.8,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 858, ""OPTIMAL"": 1212}"
a1_fmtau/fmtau_taiwan_lam0p4_0.parquet,a1_fmtau,2070,18,70.8,2026-07-16T15:50:51,False,False,False,"{""INFEASIBLE"": 681, ""OPTIMAL"": 1389}"
a1_gamma/gamma_synthetic-spike2_0.parquet,a1_gamma,120,19,15.4,2026-07-16T15:50:51,False,False,False,"{""OPTIMAL"": 120}"
a1_gamma/gamma_synthetic-spike_0.parquet,a1_gamma,120,19,14.9,2026-07-16T15:50:51,False,False,False,"{""OPTIMAL"": 120}"
a1_gamma_v2/gamma_synthetic-spike2_raw_0.parquet,a1_gamma_v2,12,19,11.6,2026-08-02T18:14:37,True,False,False,"{""OPTIMAL"": 12}"
a1_gamma_v2/gamma_synthetic-spike_raw_0.parquet,a1_gamma_v2,12,19,11.6,2026-08-02T18:14:37,True,False,False,"{""OPTIMAL"": 12}"
a1_maxbins/maxbins_german_auto_0.parquet,a1_maxbins,560,17,27.7,2026-07-16T15:50:51,False,False,False,
a1_maxbins/maxbins_german_free_0.parquet,a1_maxbins,560,17,30.0,2026-07-16T15:50:51,False,False,False,
a1_maxbins/maxbins_gmsc_auto_0.parquet,a1_maxbins,800,17,39.6,2026-07-16T15:50:51,False,False,False,
a1_maxbins/maxbins_gmsc_free_0.parquet,a1_maxbins,800,17,40.9,2026-07-16T15:50:51,False,False,False,
a1_maxbins/maxbins_hmeq_auto_0.parquet,a1_maxbins,800,17,39.5,2026-07-16T15:50:51,False,False,False,
a1_maxbins/maxbins_hmeq_free_0.parquet,a1_maxbins,800,17,46.0,2026-07-16T15:50:51,False,False,False,
a1_maxbins/maxbins_taiwan_auto_0.parquet,a1_maxbins,1840,17,78.5,2026-07-16T15:50:51,False,False,False,
a1_maxbins/maxbins_taiwan_free_0.parquet,a1_maxbins,1840,17,88.9,2026-07-16T15:50:51,False,False,False,
a1_spikesel/spikesel_synthetic-spike3_0.parquet,a1_spikesel,50,10,6.8,2026-07-16T15:50:51,False,False,False,
a1_v2/a1_german_0.parquet,a1_v2,350,14,18.2,2026-07-30T15:38:36,True,False,False,"{""OPTIMAL"": 350}"
a1_v2/a1_gmsc_0.parquet,a1_v2,500,14,21.0,2026-07-30T15:38:36,True,False,False,"{""OPTIMAL"": 500}"
a1_v2/a1_hmeq_0.parquet,a1_v2,500,14,23.8,2026-07-30T15:38:36,True,False,False,"{""OPTIMAL"": 500}"
a1_v2/a1_synthetic-spike2_0.parquet,a1_v2,100,14,12.1,2026-07-30T15:38:36,True,False,False,"{""OPTIMAL"": 100}"
a1_v2/a1_synthetic-spike_0.parquet,a1_v2,100,14,11.7,2026-07-30T15:38:36,True,False,False,"{""OPTIMAL"": 100}"
a1_v2/a1_taiwan_0.parquet,a1_v2,1150,14,44.2,2026-07-30T15:38:36,True,False,False,"{""OPTIMAL"": 1150}"
audit/audit_german_0.parquet,audit,9,26,16.2,2026-07-30T15:38:36,False,False,False,
audit/audit_german_1.parquet,audit,9,26,16.2,2026-07-30T15:38:36,False,False,False,
audit/audit_german_2.parquet,audit,9,26,16.2,2026-07-30T15:38:36,False,False,False,
audit/audit_german_3.parquet,audit,9,26,16.2,2026-07-30T15:38:36,False,False,False,
audit/audit_german_4.parquet,audit,9,26,16.2,2026-07-30T15:38:36,False,False,False,
audit/audit_gmsc_0.parquet,audit,12,26,16.4,2026-07-30T15:38:36,False,False,False,
audit/audit_gmsc_1.parquet,audit,12,26,16.3,2026-07-30T15:38:36,False,False,False,
audit/audit_gmsc_2.parquet,audit,12,26,16.4,2026-07-30T15:38:36,False,False,False,
audit/audit_gmsc_3.parquet,audit,12,26,16.4,2026-07-30T15:38:36,False,False,False,
audit/audit_gmsc_4.parquet,audit,12,26,16.4,2026-07-30T15:38:36,False,False,False,
audit/audit_heloc_0.parquet,audit,59,26,18.1,2026-07-30T15:38:36,False,False,False,
audit/audit_heloc_1.parquet,audit,59,26,18.1,2026-07-30T15:38:36,False,False,False,
audit/audit_heloc_2.parquet,audit,59,26,18.2,2026-07-30T15:38:36,False,False,False,
audit/audit_heloc_3.parquet,audit,59,26,18.1,2026-07-30T15:38:36,False,False,False,
audit/audit_heloc_4.parquet,audit,59,26,18.1,2026-07-30T15:38:36,False,False,False,
audit/audit_hmeq_0.parquet,audit,12,26,16.5,2026-07-30T15:38:36,False,False,False,
audit/audit_hmeq_1.parquet,audit,12,26,16.5,2026-07-30T15:38:36,False,False,False,
audit/audit_hmeq_2.parquet,audit,12,26,16.5,2026-07-30T15:38:36,False,False,False,
audit/audit_hmeq_3.parquet,audit,12,26,16.5,2026-07-30T15:38:36,False,False,False,
audit/audit_hmeq_4.parquet,audit,12,26,16.5,2026-07-30T15:38:36,False,False,False,
audit/audit_taiwan_0.parquet,audit,25,26,17.3,2026-07-30T15:38:36,False,False,False,
audit/audit_taiwan_1.parquet,audit,25,26,17.4,2026-07-30T15:38:36,False,False,False,
audit/audit_taiwan_2.parquet,audit,25,26,17.4,2026-07-30T15:38:36,False,False,False,
audit/audit_taiwan_3.parquet,audit,25,26,17.4,2026-07-30T15:38:36,False,False,False,
audit/audit_taiwan_4.parquet,audit,25,26,17.4,2026-07-30T15:38:36,False,False,False,
audit_v2/audit_german_0.parquet,audit_v2,12,42,26.4,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_german_1.parquet,audit_v2,12,42,26.5,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_german_2.parquet,audit_v2,12,42,26.5,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_german_3.parquet,audit_v2,12,42,26.4,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_german_4.parquet,audit_v2,12,42,26.5,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_gmsc_0.parquet,audit_v2,15,42,26.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_gmsc_1.parquet,audit_v2,15,42,26.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_gmsc_2.parquet,audit_v2,15,42,26.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_gmsc_3.parquet,audit_v2,15,42,26.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_gmsc_4.parquet,audit_v2,15,42,26.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_heloc_0.parquet,audit_v2,62,42,29.7,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_heloc_1.parquet,audit_v2,62,42,29.6,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_heloc_2.parquet,audit_v2,62,42,29.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_heloc_3.parquet,audit_v2,62,42,29.6,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_heloc_4.parquet,audit_v2,62,42,29.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_hmeq_0.parquet,audit_v2,15,42,26.9,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_hmeq_1.parquet,audit_v2,15,42,26.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_hmeq_2.parquet,audit_v2,15,42,26.9,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_hmeq_3.parquet,audit_v2,15,42,26.9,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_hmeq_4.parquet,audit_v2,15,42,26.8,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_ot_ple_german_0.parquet,audit_v2,12,42,26.3,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_german_1.parquet,audit_v2,12,42,26.5,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_german_2.parquet,audit_v2,12,42,26.4,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_german_3.parquet,audit_v2,12,42,26.3,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_german_4.parquet,audit_v2,12,42,26.4,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_gmsc_0.parquet,audit_v2,15,42,26.6,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_gmsc_1.parquet,audit_v2,15,42,26.6,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_gmsc_2.parquet,audit_v2,15,42,26.7,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_gmsc_3.parquet,audit_v2,15,42,26.6,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_gmsc_4.parquet,audit_v2,15,42,26.7,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_heloc_0.parquet,audit_v2,62,42,29.6,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_heloc_1.parquet,audit_v2,62,42,29.5,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_heloc_2.parquet,audit_v2,62,42,29.7,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_heloc_3.parquet,audit_v2,62,42,29.5,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_heloc_4.parquet,audit_v2,62,42,29.7,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_hmeq_0.parquet,audit_v2,15,42,26.8,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_hmeq_1.parquet,audit_v2,15,42,26.8,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_hmeq_2.parquet,audit_v2,15,42,26.8,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_hmeq_3.parquet,audit_v2,15,42,26.8,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_hmeq_4.parquet,audit_v2,15,42,26.8,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_taiwan_0.parquet,audit_v2,28,42,28.2,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_taiwan_1.parquet,audit_v2,28,42,28.3,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_taiwan_2.parquet,audit_v2,28,42,28.3,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_taiwan_3.parquet,audit_v2,28,42,28.2,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_ot_ple_taiwan_4.parquet,audit_v2,28,42,28.3,2026-07-31T20:55:03,True,False,False,
audit_v2/audit_taiwan_0.parquet,audit_v2,28,42,28.3,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_taiwan_1.parquet,audit_v2,28,42,28.3,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_taiwan_2.parquet,audit_v2,28,42,28.3,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_taiwan_3.parquet,audit_v2,28,42,28.3,2026-07-31T19:08:58,True,False,False,
audit_v2/audit_taiwan_4.parquet,audit_v2,28,42,28.3,2026-07-31T19:08:58,True,False,False,
c1/c1_0.parquet,c1,2,6,3.8,2026-07-14T21:14:29,False,False,False,
c1_scale/c1_0.parquet,c1_scale,3,8,4.9,2026-07-19T22:06:22,False,False,False,
c1_scale/c1_1.parquet,c1_scale,3,8,4.9,2026-07-19T22:06:22,False,False,False,
c1_scale/c1_10000_0.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_10000_1.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_10000_2.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_10000_3.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_10000_4.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_10000_5.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_10000_6.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_10000_7.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_2.parquet,c1_scale,3,8,4.9,2026-07-19T22:06:22,False,False,False,
c1_scale/c1_2500_0.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_2500_1.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_2500_2.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_2500_3.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_2500_4.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_2500_5.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_2500_6.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_2500_7.parquet,c1_scale,3,8,4.9,2026-07-20T03:00:46,False,False,False,
c1_scale/c1_3.parquet,c1_scale,3,8,4.9,2026-07-19T22:06:22,False,False,False,
c1_scale/c1_4.parquet,c1_scale,3,8,4.9,2026-07-19T22:06:22,False,False,False,
c1_scale/c1_5.parquet,c1_scale,3,8,4.9,2026-07-19T22:06:22,False,False,False,
c1_scale/c1_6.parquet,c1_scale,3,8,4.9,2026-07-19T22:06:22,False,False,False,
c1_scale/c1_7.parquet,c1_scale,3,8,4.9,2026-07-19T22:06:22,False,False,False,
c2/c2_0.parquet,c2,3,6,3.9,2026-07-19T22:11:35,False,False,False,
c2/c2_1.parquet,c2,3,6,3.9,2026-07-19T22:11:35,False,False,False,
